Student Code,Surname,Forename1,Forename2,TUTOR,Course,Acad Year,Univ Email
c1673242,Davies,Joshua,,,UFBSCMSA,1,j@d.com
c2312837,Tom,Sean,,,UFBSCMSB,1,s@d.com
c1647562,Wood,Alex,,,UFBSCVCA,1,meep@cs.cf.ac.uk
c6565879,Hemmingsworth,Albert,,,UFBSCSHB,3,AHemming@cs.cf.ac.uk
c0000001,Origin,The,,,UFBSASEA,9999,email1@email.com
c1234321,Dude,Compsci,,,UFBSCMSA,1,Cdude@cs.cf.ac.uk
c7358971,GoLucky,Happy,,,UFBSCMSB,4,HGOLUCKY@hogo.hog
c9794321,puddle,Mud,,,UFBSCSFA,5,Mpuddle@cs.cf.ac.uk
c2750000,Number,Wrong,,,UFBSCSFB,666,HtLineMiami@Denaton.com
c0020000,Spreadsheet,Excel,,,UFBSCSHA,1,Excel@microsoft.com
c6564321,OfNames,Can'tThink,,,UFBSCSHB,986,NoNames@none.no
c0000988,Aredull,Labs,,,UFBSCVCA,204,labs@dull.com
c0102032,Dominoes,Pizza,,,UFBSCVCB,3,Pizza@dominoes.com
c1020304,Student,McStudentface,,,UFBSASEA,1337,LEET@leet.co.leet
