Staff Code,Course,Forename,Surname,uniEmail,Admin,studentNum
s1673242,UFBSCMSA,Hailey,Smiths,hsmiths@uni.co.uk,1,10
s2312837,UFBSCMSB,Bob,Allen,a@g.com,1,12
s1647562,UFBSCSFA,Dan ,Bowles,1337@cs.cf.ac.uk,1,2
s6565879,UFBSCSFB,Charles,Morgan,sdglukb@cs.cf.ac.uk,1,4
s0000001,UFBSCSHA,Sarah,Nate,email11@email.com,1,5
s1230987,UFBSCSHB,Clive,Chive,86587@hgfs.dsf.dsv,0,6
s5673298,UFBSCVCA,Marshmellow,Man,sdfiugdsgui@868.cd.cv,0,7
s1090921,UFBSCVCB,Some,Guy,hg585gh@gh.uty,0,8
s6584657,UFBSASEA,Some,Girl,sedfihksdfsdfg@758456.fshbsbdf.54789,0,9
s1862342,UFBSCMSA,Jane,Crawley,Jcrawley@cs.cf.ac.uk,1,9
s1212121,UFBSCMSB,Tailey,Miths,Tmiths@cs.cf.ac.uk,0,5
s0020000,UFBSCSFA,Mike,Nutty,Mnutty@cs.cf.ac.uk,1,3
s2547321,UFBSCSFB,Brian,Lion,Blion@cs.cf.ac.uk,1,200
s0787473,UFBSCSHA,Bill,Gates,BGates@cs.cf.ac.uk,1,2
s6783942,UFBSCSHB,Handy,Jameson,Handy@cs.cf.ac.uk,1,3
